Date,USDBRL Curncy,BCN1W BGN Curncy,EURUSD Curncy,GBPUSD Curncy,USDJPY Curncy,USDMXN Curncy,USOSFR2 Curncy,USOSFR10 Curncy,CO1 Comdty,CU1 Comdty,XAU Curncy,BCNI3M Curncy,VIX Index,ES1 Index,NQ1 Index,IBOV Index,DXY Curncy,BRAZIL CDS USD SR 5Y D14 Corp,MEX CDS USD SR 5Y D14 Corp,EURUSDV1M BGN Curncy,W 1 COMB Comdty,C 1 COMB Comdty,KC1 Comdty,USGGBE2 Index,USGGBE10 Index,CESIUSD Index
2007-02-01,2.1004,25.0,1.3022,1.9668,120.82,10.9713,5.2437,5.214,56.72,55040.0,657.2,10.7921,10.31,1450.75,1803.25,44815.01,84.64,96.129,42.24,6.2,460.25,398.0,118.75,2.6056,2.4119,65.6
2007-02-02,2.1043,25.0,1.2961,1.966,121.14,10.9632,5.2087,5.1865,58.41,54240.0,647.85,10.6582,10.08,1453.0,1807.25,44997.83,84.96,93.119,39.825,5.975,461.25,402.0,118.35,2.5953,2.4049,58.5
2007-02-05,2.0933,25.0,1.2929,1.9603,120.34,10.9228,5.1887,5.1585,58.1,52360.0,648.45,10.6865,10.55,1453.75,1805.5,45286.17,85.08,93.125,39.5,5.75,458.5,402.0,116.6,2.5875,2.399,61.3
2007-02-06,2.0859,25.0,1.2985,1.9711,120.1,10.9223,5.1637,5.1199,58.42,52570.0,653.3,10.3205,10.65,1453.25,1803.5,45351.8,84.77,91.151,39.51,5.85,451.0,396.5,116.5,2.5513,2.3695,60.4
2007-02-07,2.0925,25.0,1.3012,1.9707,120.68,10.9555,5.1437,5.1004,57.23,53540.0,651.45,10.4658,10.32,1455.75,1823.0,44587.96,84.71,90.119,39.396,5.85,452.0,392.25,116.85,2.5488,2.3596,60.4
2007-02-08,2.0929,25.5,1.3042,1.9589,121.03,10.9502,5.1472,5.0974,59.03,52950.0,660.45,10.3454,10.44,1454.0,1821.75,44891.94,84.69,92.613,40.338,5.875,457.0,399.75,115.55,2.5346,2.3455,60.5
2007-02-09,2.108,20.5,1.3008,1.9491,121.71,10.9954,5.1932,5.1634,59.01,53370.0,666.85,10.3866,11.1,1443.0,1792.5,44284.4,84.88,91.629,40.89,6.05,460.25,406.25,114.75,2.5517,2.3623,60.7
2007-02-12,2.1135,18.5,1.2966,1.9472,121.94,11.0224,5.2177,5.1918,56.6,53830.0,661.1,10.2407,11.61,1438.0,1785.5,43934.75,85.12,92.833,41.375,5.9,455.75,404.75,113.9,2.5421,2.347,61.7
2007-02-13,2.1076,18.5,1.3039,1.9469,121.17,10.9584,5.2207,5.1883,57.03,,664.25,10.3486,10.34,1449.5,1796.0,45197.45,84.69,90.792,41.355,5.775,459.0,411.0,113.7,2.55,2.3581,56.4
2007-02-14,2.0915,18.5,1.3131,1.9628,120.8,10.9184,5.1432,5.1018,57.43,,669.13,10.2656,10.23,1458.5,1822.75,45995.6,84.18,87.083,39.908,6.1,451.0,408.25,114.05,2.5533,2.3523,54.8
2007-02-15,2.0934,18.5,1.3141,1.9511,119.27,10.9695,5.1072,5.0756,57.6,,669.75,10.7783,10.22,1459.5,1831.0,45955.07,84.05,86.6,39.4,5.95,453.25,407.5,115.3,2.5217,2.326,36.7
2007-02-16,2.092,17.5,1.3138,1.9496,119.43,10.997,5.0987,5.0611,58.95,55950.0,669.05,10.8316,10.02,1459.0,1827.25,45849.03,84.06,87.2,39.541,5.75,468.0,417.0,113.2,2.5277,2.3402,32.4
2007-02-19,,17.5,1.3156,1.9514,119.56,10.9688,5.0992,5.0626,58.14,,670.75,10.8456,,,,,84.02,,,5.6,,,,2.5276,2.3402,31.8
2007-02-20,2.084,27.0,1.3138,1.9553,120.03,10.9927,5.0872,5.0453,57.98,,657.25,10.8754,10.24,1461.75,1838.75,,84.18,86.16,39.916,5.6505,464.5,415.25,113.2,2.5186,2.3263,31.6
2007-02-21,2.0765,27.0,1.3139,1.954,120.94,10.9888,5.1132,5.0616,59.35,,678.85,10.8952,10.2,1460.5,1844.5,46090.24,84.22,86.263,40.334,5.425,476.0,426.25,115.15,2.5386,2.3653,34.5
2007-02-22,2.0815,17.5,1.3126,1.9564,121.58,11.0003,5.1457,5.1066,60.62,,677.45,10.8851,10.18,1459.25,1854.25,46452.26,84.34,84.083,40.03,5.425,489.5,434.5,118.9,2.5607,2.3871,34.3
2007-02-23,2.0877,17.5,1.3166,1.9634,121.08,11.0373,5.0972,5.0575,60.88,,682.55,10.8329,10.58,1453.75,1845.0,46015.79,84.05,85.28,40.575,5.525,484.25,430.25,119.25,2.5547,2.3809,34.2
2007-02-26,2.0825,,1.3188,1.9636,120.66,11.0788,5.0637,5.0124,61.33,58180.0,686.55,11.0257,11.15,1452.5,1837.75,46207.4,83.93,87.5,41.625,5.65,483.0,425.5,117.85,2.5542,2.3795,33.9
2007-02-27,2.1197,,1.3242,1.9621,117.94,11.1729,4.8992,4.9184,61.36,58760.0,663.35,10.6421,18.31,1395.25,1750.5,43145.33,83.46,92.22,43.5,6.0909,470.25,411.0,117.3,2.5395,2.3463,36.2
2007-02-28,2.1205,,1.3229,1.9639,118.56,11.1619,4.9622,4.972,61.89,57740.0,669.35,10.2714,15.42,1409.0,1765.5,43892.31,83.57,95.958,45.251,6.05,474.5,425.25,117.7,2.5571,2.3784,25.5
2007-03-01,2.1188,,1.3186,1.9584,117.62,11.1515,4.9352,4.9525,62.11,57690.0,664.45,10.399,15.82,1405.0,1757.75,43516.91,83.77,96.74,45.0,6.0005,468.0,417.25,116.0,2.5536,2.375,31.2
2007-03-02,2.1318,,1.3192,1.9435,116.8,11.2165,4.8732,4.9214,62.08,57340.0,642.45,10.26,18.61,1385.75,1726.25,42369.84,83.74,102.533,46.925,5.95,459.5,411.0,114.35,2.537,2.3624,28.2
2007-03-05,2.134,,1.309,1.9205,115.53,11.176,4.8662,4.9198,60.54,55630.0,636.6,10.2018,19.63,1372.25,1713.75,41179.16,84.17,105.875,48.75,6.35,468.0,417.25,110.55,2.5332,2.343,17.0
2007-03-06,2.1168,,1.3128,1.9317,116.6,11.1425,4.9037,4.9311,61.39,55890.0,646.5,10.0982,15.96,1395.5,1745.0,43218.4,84.04,103.31,48.2,6.05,459.5,412.5,112.0,2.5318,2.35,15.5
2007-03-07,2.1123,,1.3177,1.933,116.06,11.1606,4.8507,4.8804,62.5,56590.0,649.0,10.1332,15.24,1393.25,1737.5,42667.18,83.78,98.5,47.0,5.9,466.5,415.75,111.1,2.5116,2.3299,13.6
2007-03-08,2.1065,,1.3133,1.9283,117.18,11.1683,4.8852,4.907,62.33,57850.0,651.8,10.0497,14.29,1404.75,1754.5,43465.83,84.13,95.173,46.4,5.875,464.0,412.0,111.1,2.5096,2.3344,11.8
2007-03-09,2.0983,,1.3116,1.932,118.34,11.143,4.9857,4.9857,61.13,57540.0,650.28,10.3848,14.09,1405.0,1747.75,44133.42,84.25,93.146,45.688,5.65,465.5,408.25,111.5,2.5148,2.351,14.4
2007-03-12,2.0876,,1.3189,1.9325,117.74,11.124,4.9472,4.9488,60.74,57680.0,650.5,10.2035,13.99,1407.0,1757.75,44249.23,83.88,94.125,45.125,5.75,460.0,399.75,111.0,2.4832,2.3315,4.3
2007-03-13,2.1035,,1.3197,1.929,116.28,11.1853,4.8387,4.8916,60.9,58500.0,643.8,10.1377,18.13,1379.75,1724.25,42749.38,83.71,97.736,45.375,6.0,456.0,397.0,110.2,2.4922,2.3514,-3.9
