Date,USDCLP Curncy,CHN1W BGN Curncy,EURUSD Curncy,GBPUSD Curncy,USDJPY Curncy,USDMXN Curncy,USGG2YR Index,USGG10YR Index,CO1 Comdty,CU1 Comdty,XAU Curncy,CHNI3M Curncy,VIX Index,ES1 Index,NQ1 Index,IPSA Index,IBOV Index,DXY Curncy,CHILE CDS USD SR 5Y D14 Corp,BRAZIL CDS USD SR 5Y D14 Corp,MEX CDS USD SR 5Y D14 Corp,EURUSDV1M BGN Curncy,W 1 COMB Comdty,C 1 COMB Comdty,USGGBE2 Index,USGGBE10 Index,CESIUSD Index
2007-02-01,544.86,0.01,1.3022,1.9668,120.82,10.9713,4.9581,4.8346,56.72,55040.0,657.2,5.25,10.31,1450.75,1803.25,2939.52,44815.01,84.64,17.003,96.129,42.24,6.2,460.25,398.0,2.6056,2.4119,65.6
2007-02-02,547.77,0.01,1.2961,1.966,121.14,10.9632,4.9331,4.8204,58.41,54240.0,647.85,5.26,10.08,1453.0,1807.25,2951.55,44997.83,84.96,17.085,93.119,39.825,5.975,461.25,402.0,2.5953,2.4049,58.5
2007-02-05,547.75,0.01,1.2929,1.9603,120.34,10.9228,4.9163,4.8021,58.1,52360.0,648.45,5.26,10.55,1453.75,1805.5,2944.47,45286.17,85.08,17.167,93.125,39.5,5.75,458.5,402.0,2.5875,2.399,61.3
2007-02-06,548.85,0.01,1.2985,1.9711,120.1,10.9223,4.8912,4.7655,58.42,52570.0,653.3,5.3,10.65,1453.25,1803.5,2953.47,45351.8,84.77,17.003,91.151,39.51,5.85,451.0,396.5,2.5513,2.3695,60.4
2007-02-07,548.6,0.01,1.3012,1.9707,120.68,10.9555,4.866,4.7432,57.23,53540.0,651.45,5.35,10.32,1455.75,1823.0,2991.83,44587.96,84.71,16.635,90.119,39.396,5.85,452.0,392.25,2.5488,2.3596,60.4
2007-02-08,547.25,0.01,1.3042,1.9589,121.03,10.9502,4.8743,4.7319,59.03,52950.0,660.45,5.34,10.44,1454.0,1821.75,2993.37,44891.94,84.69,16.75,92.613,40.338,5.875,457.0,399.75,2.5346,2.3455,60.5
2007-02-09,544.4,0.01,1.3008,1.9491,121.71,10.9954,4.8993,4.7797,59.01,53370.0,666.85,5.36,11.1,1443.0,1792.5,3019.63,44284.4,84.88,16.75,91.629,40.89,6.05,460.25,406.25,2.5517,2.3623,60.7
2007-02-12,546.15,0.01,1.2966,1.9472,121.94,11.0224,4.9246,4.8037,56.6,53830.0,661.1,5.35,11.61,1438.0,1785.5,3011.63,43934.75,85.12,17.167,92.833,41.375,5.9,455.75,404.75,2.5421,2.347,61.7
2007-02-13,543.5,0.01,1.3039,1.9469,121.17,10.9584,4.933,4.8078,57.03,,664.25,5.36,10.34,1449.5,1796.0,3050.21,45197.45,84.69,17.585,90.792,41.355,5.775,459.0,411.0,2.55,2.3581,56.4
2007-02-14,539.85,0.01,1.3131,1.9628,120.8,10.9184,4.8653,4.7359,57.43,,669.13,5.35,10.23,1458.5,1822.75,3085.96,45995.6,84.18,16.625,87.083,39.908,6.1,451.0,408.25,2.5533,2.3523,54.8
2007-02-15,539.7,0.01,1.3141,1.9511,119.27,10.9695,4.8314,4.7061,57.6,,669.75,5.32,10.22,1459.5,1831.0,3094.61,45955.07,84.05,16.625,86.6,39.4,5.95,453.25,407.5,2.5217,2.326,36.7
2007-02-16,540.9,0.01,1.3138,1.9496,119.43,10.997,4.8224,4.6882,58.95,55950.0,669.05,5.36,10.02,1459.0,1827.25,3107.4,45849.03,84.06,16.5,87.2,39.541,5.75,468.0,417.0,2.5277,2.3402,32.4
2007-02-19,538.73,0.04,1.3156,1.9514,119.56,10.9688,4.8222,4.6882,58.14,,670.75,5.34,,,,3081.56,,84.02,,,,5.6,,,2.5276,2.3402,31.8
2007-02-20,539.42,0.01,1.3138,1.9553,120.03,10.9927,4.8136,4.6743,57.98,,657.25,5.36,10.24,1461.75,1838.75,3011.43,,84.18,16.5,86.16,39.916,5.6505,464.5,415.25,2.5186,2.3263,31.6
2007-02-21,539.5,0.01,1.3139,1.954,120.94,10.9888,4.8392,4.6902,59.35,,678.85,5.35,10.2,1460.5,1844.5,2925.51,46090.24,84.22,16.625,86.263,40.334,5.425,476.0,426.25,2.5386,2.3653,34.5
2007-02-22,536.2,0.01,1.3126,1.9564,121.58,11.0003,4.8578,4.7279,60.62,,677.45,5.35,10.18,1459.25,1854.25,2970.34,46452.26,84.34,16.418,84.083,40.03,5.425,489.5,434.5,2.5607,2.3871,34.3
2007-02-23,536.75,0.01,1.3166,1.9634,121.08,11.0373,4.7997,4.6703,60.88,,682.55,5.33,10.58,1453.75,1845.0,2919.84,46015.79,84.05,16.333,85.28,40.575,5.525,484.25,430.25,2.5547,2.3809,34.2
2007-02-26,534.45,0.01,1.3188,1.9636,120.66,11.0788,4.7583,4.6248,61.33,58180.0,686.55,5.36,11.15,1452.5,1837.75,2872.41,46207.4,83.93,16.167,87.5,41.625,5.65,483.0,425.5,2.5542,2.3795,33.9
2007-02-27,539.35,0.01,1.3242,1.9621,117.94,11.1729,4.5847,4.5109,61.36,58760.0,663.35,5.33,18.31,1395.25,1750.5,2729.63,43145.33,83.46,16.333,92.22,43.5,6.0909,470.25,411.0,2.5395,2.3463,36.2
2007-02-28,539.55,0.01,1.3229,1.9639,118.56,11.1619,4.6423,4.5657,61.89,57740.0,669.35,5.29,15.42,1409.0,1765.5,2811.62,43892.31,83.57,16.628,95.958,45.251,6.05,474.5,425.25,2.5571,2.3784,25.5
2007-03-01,540.65,0.01,1.3186,1.9584,117.62,11.1515,4.6089,4.5499,62.11,57690.0,664.45,5.33,15.82,1405.0,1757.75,2828.59,43516.91,83.77,16.795,96.74,45.0,6.0005,468.0,417.25,2.5536,2.375,31.2
2007-03-02,538.73,0.01,1.3192,1.9435,116.8,11.2165,4.5252,4.497,62.08,57340.0,642.45,5.32,18.61,1385.75,1726.25,2832.33,42369.84,83.74,16.835,102.533,46.925,5.95,459.5,411.0,2.537,2.3624,28.2
2007-03-05,539.95,0.0,1.309,1.9205,115.53,11.176,4.5165,4.495,60.54,55630.0,636.6,5.33,19.63,1372.25,1713.75,2802.02,41179.16,84.17,16.833,105.875,48.75,6.35,468.0,417.25,2.5332,2.343,17.0
2007-03-06,538.62,0.0,1.3128,1.9317,116.6,11.1425,4.5743,4.5282,61.39,55890.0,646.5,5.35,15.96,1395.5,1745.0,2854.81,43218.4,84.04,16.835,103.31,48.2,6.05,459.5,412.5,2.5318,2.35,15.5
2007-03-07,537.95,0.01,1.3177,1.933,116.06,11.1606,4.5241,4.4871,62.5,56590.0,649.0,5.3,15.24,1393.25,1737.5,2833.62,42667.18,83.78,16.757,98.5,47.0,5.9,466.5,415.75,2.5116,2.3299,13.6
2007-03-08,537.75,0.01,1.3133,1.9283,117.18,11.1683,4.5571,4.5125,62.33,57850.0,651.8,5.33,14.29,1404.75,1754.5,2870.02,43465.83,84.13,16.625,95.173,46.4,5.875,464.0,412.0,2.5096,2.3344,11.8
2007-03-09,538.56,0.0,1.3116,1.932,118.34,11.143,4.6651,4.5871,61.13,57540.0,650.28,5.31,14.09,1405.0,1747.75,2875.62,44133.42,84.25,16.444,93.146,45.688,5.65,465.5,408.25,2.5148,2.351,14.4
2007-03-12,538.95,0.0,1.3189,1.9325,117.74,11.124,4.6313,4.5516,60.74,57680.0,650.5,5.34,13.99,1407.0,1757.75,2912.25,44249.23,83.88,16.167,94.125,45.125,5.75,460.0,399.75,2.4832,2.3315,4.3
2007-03-13,,0.0,1.3197,1.929,116.28,11.1853,4.5051,4.4907,60.9,58500.0,643.8,5.33,18.13,1379.75,1724.25,2857.47,42749.38,83.71,16.333,97.736,45.375,6.0,456.0,397.0,2.4922,2.3514,-3.9
2007-03-14,539.92,0.0,1.3223,1.9361,117.09,11.1585,4.5551,4.5338,61.06,57800.0,644.7,5.33,17.27,1389.5,1748.25,2849.68,43288.44,83.64,16.25,100.643,46.926,6.2,446.0,389.5,2.516,2.3666,-4.2
2007-03-15,538.98,0.0,1.3238,1.9374,117.57,11.1455,4.58,4.5358,60.98,57500.0,646.6,5.34,16.43,1391.5,1744.5,2900.03,43278.19,83.65,15.876,96.224,44.817,6.075,455.5,397.75,2.5262,2.3685,-2.0
2007-03-16,536.93,0.0,1.3318,1.9424,116.75,11.1848,4.5876,4.5435,60.3,60720.0,653.4,5.35,16.79,1396.12,1747.24,2916.85,42730.04,83.19,16.224,96.229,43.46,6.6,460.75,399.5,2.5385,2.3905,4.8
2007-03-19,535.81,0.0,1.3302,1.9442,117.53,11.1368,4.6212,4.5632,60.52,60710.0,654.2,5.24,14.59,1415.75,1781.25,2958.65,43712.55,83.35,16.167,91.1,41.833,6.55,455.0,398.0,2.5303,2.3944,4.3
2007-03-20,536.06,0.0,1.3318,1.9614,117.29,11.1175,4.604,4.5494,60.2,61220.0,658.8,5.33,13.27,1423.5,1792.25,2956.31,44350.87,83.07,16.224,91.882,41.529,6.3,462.75,405.25,2.5228,2.3947,6.4
2007-03-21,535.65,0.0,1.3386,1.9678,117.55,11.0585,4.5274,4.5356,60.77,60590.0,664.2,5.32,12.19,1445.0,1825.0,2977.13,45630.86,82.77,15.833,90.782,41.502,6.125,465.5,409.75,2.5658,2.4143,5.3
2007-03-22,536.79,0.0,1.3331,1.9648,118.13,11.0162,4.578,4.5829,62.51,60840.0,664.0,5.25,12.93,1445.0,1818.75,2962.61,45424.18,83.09,15.833,86.476,40.835,6.225,467.0,409.5,2.58,2.4248,4.5
2007-03-23,537.97,0.0,1.3283,1.9614,118.12,11.018,4.6028,4.6105,63.18,61530.0,657.4,5.33,12.95,1447.0,1811.5,2954.35,45532.53,83.28,15.833,85.6,40.845,6.0,461.5,403.25,2.5988,2.4298,3.5
2007-03-26,538.53,0.0,1.333,1.9694,118.14,11.0213,4.5769,4.6006,64.41,62130.0,664.1,5.33,13.16,1445.25,1818.25,2945.29,45644.56,83.08,15.5,88.125,42.833,5.9,458.0,391.0,2.6148,2.4533,-6.8
2007-03-27,539.41,0.0,1.3352,1.9657,117.81,11.0565,4.5595,4.5966,64.6,62770.0,664.41,5.22,13.48,1440.5,1810.25,2918.85,45206.53,83.01,15.625,87.055,42.334,5.85,454.0,392.5,2.6159,2.4512,-11.7
2007-03-28,540.21,0.0,1.3313,1.9616,116.86,11.0771,4.5677,4.6204,65.78,61360.0,665.56,5.24,14.98,1429.5,1790.25,2890.46,44484.1,83.03,15.625,88.312,42.625,5.95,456.5,388.5,2.6196,2.461,-14.1
2007-03-29,539.28,0.0,1.3331,1.9619,118.07,11.0278,4.5827,4.6423,67.88,61090.0,661.5,5.34,15.14,1431.5,1788.0,2919.72,45355.13,83.09,15.625,86.5,42.875,5.85,461.0,394.5,2.6159,2.4653,-8.8
2007-03-30,538.97,0.0,1.3354,1.9678,117.83,11.0494,4.5744,4.6443,68.1,62090.0,663.8,5.23,14.64,1431.25,1790.75,2929.0,45804.66,82.93,15.307,83.299,41.258,5.575,438.0,374.5,2.6079,2.4427,4.8
2007-04-02,539.87,0.0,1.3366,1.9778,117.86,11.0211,4.5828,4.6403,68.74,62950.0,664.0,5.3,14.53,1433.25,1790.0,2940.63,45597.48,82.87,15.5,83.375,41.375,5.9,428.0,354.75,2.6064,2.4387,-0.1
2007-04-03,537.46,0.0,1.333,1.9741,118.96,10.9775,4.6161,4.6642,67.81,63510.0,663.95,5.32,13.46,1447.25,1814.75,2967.18,46288.16,83.15,15.5,80.583,40.438,5.8,419.0,346.25,2.5917,2.4148,-1.2
2007-04-04,537.77,0.0,1.3368,1.9762,118.73,10.9975,4.5912,4.6482,68.4,65100.0,674.35,5.2,13.24,1448.5,1819.25,2986.62,46553.93,82.96,15.276,80.12,40.0,5.625,431.25,359.25,2.5977,2.4397,-8.4
