Date,USDCOP Curncy,CLN1W BGN Curncy,EURUSD Curncy,GBPUSD Curncy,USDJPY Curncy,USDMXN Curncy,USGG2YR Index,USGG10YR Index,CO1 Comdty,CU1 Comdty,XAU Curncy,CLNI3M Curncy,VIX Index,ES1 Index,NQ1 Index,COLCAP Index,DXY Curncy,COLOM CDS USD SR 5Y D14 Corp,EURUSDV1M BGN Curncy,W 1 COMB Comdty,C 1 COMB Comdty,KC1 COMB Comdty,USGGBE2 Index,USGGBE10 Index,CESIUSD Index
2007-02-01,2247.5,1.13,1.3022,1.9668,120.82,10.9713,4.9581,4.8346,56.72,55040.0,657.2,8.350001,10.31,1450.75,1803.25,1036.21,84.64,108.625,6.2,460.25,398.0,118.75,2.6056,2.4119,65.6
2007-02-02,2242.75,1.13,1.2961,1.966,121.14,10.9632,4.9331,4.8204,58.41,54240.0,647.85,7.622901,10.08,1453.0,1807.25,1039.85,84.96,107.529,5.975,461.25,402.0,118.35,2.5953,2.4049,58.5
2007-02-05,2231.5,1.13,1.2929,1.9603,120.34,10.9228,4.9163,4.8021,58.1,52360.0,648.45,7.668651,10.55,1453.75,1805.5,1040.27,85.08,106.65,5.75,458.5,402.0,116.6,2.5875,2.399,61.3
2007-02-06,2233.5,1.13,1.2985,1.9711,120.1,10.9223,4.8912,4.7655,58.42,52570.0,653.3,8.065351,10.65,1453.25,1803.5,1037.08,84.77,105.364,5.85,451.0,396.5,116.5,2.5513,2.3695,60.4
2007-02-07,2237.2,1.0,1.3012,1.9707,120.68,10.9555,4.866,4.7432,57.23,53540.0,651.45,8.084802,10.32,1455.75,1823.0,1036.31,84.71,105.95,5.85,452.0,392.25,116.85,2.5488,2.3596,60.4
2007-02-08,2238.19,1.29,1.3042,1.9589,121.03,10.9502,4.8743,4.7319,59.03,52950.0,660.45,7.625951,10.44,1454.0,1821.75,1033.63,84.69,106.738,5.875,457.0,399.75,115.55,2.5346,2.3455,60.5
2007-02-09,2227.83,0.98,1.3008,1.9491,121.71,10.9954,4.8993,4.7797,59.01,53370.0,666.85,7.654651,11.1,1443.0,1792.5,1035.52,84.88,106.876,6.05,460.25,406.25,114.75,2.5517,2.3623,60.7
2007-02-12,2228.2,1.13,1.2966,1.9472,121.94,11.0224,4.9246,4.8037,56.6,53830.0,661.1,7.651201,11.61,1438.0,1785.5,1023.09,85.12,107.112,5.9,455.75,404.75,113.9,2.5421,2.347,61.7
2007-02-13,2221.3,1.38,1.3039,1.9469,121.17,10.9584,4.933,4.8078,57.03,,664.25,7.685551,10.34,1449.5,1796.0,1027.38,84.69,102.3,5.775,459.0,411.0,113.7,2.55,2.3581,56.4
2007-02-14,2219.1,1.38,1.3131,1.9628,120.8,10.9184,4.8653,4.7359,57.43,,669.13,8.041001,10.23,1458.5,1822.75,1036.41,84.18,100.233,6.1,451.0,408.25,114.05,2.5533,2.3523,54.8
