Date,USDMXN Curncy,MXN1W BGN Curncy,EURUSD Curncy,GBPUSD Curncy,USDJPY Curncy,USGG2YR Index,USGG10YR Index,CO1 Comdty,CU1 Comdty,XAU Curncy,MXNI3M Curncy,VIX Index,ES1 Index,NQ1 Index,MEXBOL Index,DXY Curncy,MEX CDS USD SR 5Y D14 Corp,EURUSDV1M BGN Curncy,W 1 COMB Comdty,C 1 COMB Comdty,USGGBE2 Index,USGGBE10 Index,CESIUSD Index
2007-02-01,10.9713,38.5,1.3022,1.9668,120.82,4.9581,4.8346,56.72,55040.0,657.2,7.3453,10.31,1450.75,1803.25,27842.76,84.64,42.24,6.2,460.25,398.0,2.6056,2.4119,65.6
2007-02-02,10.9632,38.78,1.2961,1.966,121.14,4.9331,4.8204,58.41,54240.0,647.85,7.3133,10.08,1453.0,1807.25,27933.07,84.96,39.825,5.975,461.25,402.0,2.5953,2.4049,58.5
2007-02-05,10.9228,38.0,1.2929,1.9603,120.34,4.9163,4.8021,58.1,52360.0,648.45,7.3133,10.55,1453.75,1805.5,,85.08,39.5,5.75,458.5,402.0,2.5875,2.399,61.3
2007-02-06,10.9223,39.0,1.2985,1.9711,120.1,4.8912,4.7655,58.42,52570.0,653.3,7.3429,10.65,1453.25,1803.5,28067.4,84.77,39.51,5.85,451.0,396.5,2.5513,2.3695,60.4
2007-02-07,10.9555,38.0,1.3012,1.9707,120.68,4.866,4.7432,57.23,53540.0,651.45,7.3359,10.32,1455.75,1823.0,28123.76,84.71,39.396,5.85,452.0,392.25,2.5488,2.3596,60.4
2007-02-08,10.9502,41.44,1.3042,1.9589,121.03,4.8743,4.7319,59.03,52950.0,660.45,7.3185,10.44,1454.0,1821.75,28197.26,84.69,40.338,5.875,457.0,399.75,2.5346,2.3455,60.5
2007-02-09,10.9954,37.84,1.3008,1.9491,121.71,4.8993,4.7797,59.01,53370.0,666.85,7.2921,11.1,1443.0,1792.5,27906.89,84.88,40.89,6.05,460.25,406.25,2.5517,2.3623,60.7
2007-02-12,11.0224,37.02,1.2966,1.9472,121.94,4.9246,4.8037,56.6,53830.0,661.1,7.2707,11.61,1438.0,1785.5,27972.23,85.12,41.375,5.9,455.75,404.75,2.5421,2.347,61.7
2007-02-13,10.9584,34.91,1.3039,1.9469,121.17,4.933,4.8078,57.03,,664.25,7.2436,10.34,1449.5,1796.0,28262.65,84.69,41.355,5.775,459.0,411.0,2.55,2.3581,56.4
2007-02-14,10.9184,37.36,1.3131,1.9628,120.8,4.8653,4.7359,57.43,,669.13,7.2317,10.23,1458.5,1822.75,28539.69,84.18,39.908,6.1,451.0,408.25,2.5533,2.3523,54.8
2007-02-15,10.9695,39.39,1.3141,1.9511,119.27,4.8314,4.7061,57.6,,669.75,7.2374,10.22,1459.5,1831.0,28498.75,84.05,39.4,5.95,453.25,407.5,2.5217,2.326,36.7
2007-02-16,10.997,37.48,1.3138,1.9496,119.43,4.8224,4.6882,58.95,55950.0,669.05,7.2536,10.02,1459.0,1827.25,28491.07,84.06,39.541,5.75,468.0,417.0,2.5277,2.3402,32.4
2007-02-19,10.9688,37.5,1.3156,1.9514,119.56,4.8222,4.6882,58.14,,670.75,7.2581,,,,28590.17,84.02,,5.6,,,2.5276,2.3402,31.8
2007-02-20,10.9927,38.0,1.3138,1.9553,120.03,4.8136,4.6743,57.98,,657.25,7.2448,10.24,1461.75,1838.75,28589.66,84.18,39.916,5.6505,464.5,415.25,2.5186,2.3263,31.6
2007-02-21,10.9888,36.1,1.3139,1.954,120.94,4.8392,4.6902,59.35,,678.85,7.2561,10.2,1460.5,1844.5,28715.96,84.22,40.334,5.425,476.0,426.25,2.5386,2.3653,34.5
2007-02-22,11.0003,38.21,1.3126,1.9564,121.58,4.8578,4.7279,60.62,,677.45,7.2846,10.18,1459.25,1854.25,28676.48,84.34,40.03,5.425,489.5,434.5,2.5607,2.3871,34.3
2007-02-23,11.0373,38.69,1.3166,1.9634,121.08,4.7997,4.6703,60.88,,682.55,7.3528,10.58,1453.75,1845.0,28505.72,84.05,40.575,5.525,484.25,430.25,2.5547,2.3809,34.2
2007-02-26,11.0788,39.0,1.3188,1.9636,120.66,4.7583,4.6248,61.33,58180.0,686.55,7.3935,11.15,1452.5,1837.75,28046.16,83.93,41.625,5.65,483.0,425.5,2.5542,2.3795,33.9
