Date,USDZAR Curncy,ZAR1W BGN Curncy,EURUSD Curncy,GBPUSD Curncy,USDJPY Curncy,USGG2YR Index,USGG10YR Index,CO1 Comdty,CU1 Comdty,XAU Curncy,ZARI3M Curncy,VIX Index,ES1 Index,NQ1 Index,JALSH Index,DXY Curncy,REPSOU CDS USD SR 5Y D14 Corp,EURUSDV1M BGN Curncy,W 1 COMB Comdty,C 1 COMB Comdty,USGGBE2 Index,USGGBE10 Index,CESIUSD Index
2007-02-01,7.1643,54.0,1.3022,1.9668,120.82,4.9581,4.8346,56.72,55040.0,657.2,9.4007,10.31,1450.75,1803.25,25782.38,84.64,35.0,6.2,460.25,398.0,2.6056,2.4119,65.6
2007-02-02,7.1875,53.0,1.2961,1.966,121.14,4.9331,4.8204,58.41,54240.0,647.85,9.4091,10.08,1453.0,1807.25,25679.19,84.96,34.605,5.975,461.25,402.0,2.5953,2.4049,58.5
2007-02-05,7.2233,53.0,1.2929,1.9603,120.34,4.9163,4.8021,58.1,52360.0,648.45,9.4207,10.55,1453.75,1805.5,25605.18,85.08,34.333,5.75,458.5,402.0,2.5875,2.399,61.3
2007-02-06,7.166,52.0,1.2985,1.9711,120.1,4.8912,4.7655,58.42,52570.0,653.3,9.439,10.65,1453.25,1803.5,25933.81,84.77,34.646,5.85,451.0,396.5,2.5513,2.3695,60.4
2007-02-07,7.1685,52.0,1.3012,1.9707,120.68,4.866,4.7432,57.23,53540.0,651.45,9.4262,10.32,1455.75,1823.0,25915.9,84.71,34.917,5.85,452.0,392.25,2.5488,2.3596,60.4
2007-02-08,7.1425,59.0,1.3042,1.9589,121.03,4.8743,4.7319,59.03,52950.0,660.45,9.4224,10.44,1454.0,1821.75,25596.86,84.69,34.433,5.875,457.0,399.75,2.5346,2.3455,60.5
2007-02-09,7.189,52.0,1.3008,1.9491,121.71,4.8993,4.7797,59.01,53370.0,666.85,9.3939,11.1,1443.0,1792.5,25666.81,84.88,34.56,6.05,460.25,406.25,2.5517,2.3623,60.7
2007-02-12,7.2975,54.0,1.2966,1.9472,121.94,4.9246,4.8037,56.6,53830.0,661.1,9.4347,11.61,1438.0,1785.5,25820.61,85.12,35.333,5.9,455.75,404.75,2.5421,2.347,61.7
2007-02-13,7.2445,56.0,1.3039,1.9469,121.17,4.933,4.8078,57.03,,664.25,9.4652,10.34,1449.5,1796.0,26023.35,84.69,35.716,5.775,459.0,411.0,2.55,2.3581,56.4
2007-02-14,7.195,59.0,1.3131,1.9628,120.8,4.8653,4.7359,57.43,,669.13,9.4203,10.23,1458.5,1822.75,26311.42,84.18,35.593,6.1,451.0,408.25,2.5533,2.3523,54.8
2007-02-15,7.19,55.0,1.3141,1.9511,119.27,4.8314,4.7061,57.6,,669.75,9.4027,10.22,1459.5,1831.0,26521.1,84.05,35.275,5.95,453.25,407.5,2.5217,2.326,36.7
2007-02-16,7.158,54.0,1.3138,1.9496,119.43,4.8224,4.6882,58.95,55950.0,669.05,9.2926,10.02,1459.0,1827.25,26511.08,84.06,34.983,5.75,468.0,417.0,2.5277,2.3402,32.4
2007-02-19,7.114,53.0,1.3156,1.9514,119.56,4.8222,4.6882,58.14,,670.75,9.2663,,,,26623.23,84.02,35.0,5.6,,,2.5276,2.3402,31.8
2007-02-20,7.1275,53.0,1.3138,1.9553,120.03,4.8136,4.6743,57.98,,657.25,9.2631,10.24,1461.75,1838.75,26514.77,84.18,34.979,5.6505,464.5,415.25,2.5186,2.3263,31.6
2007-02-21,7.075,53.0,1.3139,1.954,120.94,4.8392,4.6902,59.35,,678.85,9.2927,10.2,1460.5,1844.5,26306.3,84.22,34.293,5.425,476.0,426.25,2.5386,2.3653,34.5
2007-02-22,7.071,55.0,1.3126,1.9564,121.58,4.8578,4.7279,60.62,,677.45,9.284,10.18,1459.25,1854.25,26697.7,84.34,33.975,5.425,489.5,434.5,2.5607,2.3871,34.3
2007-02-23,7.0635,55.0,1.3166,1.9634,121.08,4.7997,4.6703,60.88,,682.55,9.3008,10.58,1453.75,1845.0,26792.39,84.05,34.037,5.525,484.25,430.25,2.5547,2.3809,34.2
2007-02-26,7.081,56.0,1.3188,1.9636,120.66,4.7583,4.6248,61.33,58180.0,686.55,9.3501,11.15,1452.5,1837.75,26932.15,83.93,34.667,5.65,483.0,425.5,2.5542,2.3795,33.9
2007-02-27,7.2845,55.0,1.3242,1.9621,117.94,4.5847,4.5109,61.36,58760.0,663.35,9.3291,18.31,1395.25,1750.5,26078.3,83.46,35.813,6.0909,470.25,411.0,2.5395,2.3463,36.2
2007-02-28,7.2325,54.0,1.3229,1.9639,118.56,4.6423,4.5657,61.89,57740.0,669.35,9.3818,15.42,1409.0,1765.5,25795.99,83.57,38.125,6.05,474.5,425.25,2.5571,2.3784,25.5
2007-03-01,7.276,54.0,1.3186,1.9584,117.62,4.6089,4.5499,62.11,57690.0,664.45,9.4051,15.82,1405.0,1757.75,25336.58,83.77,38.4,6.0005,468.0,417.25,2.5536,2.375,31.2
2007-03-02,7.4163,53.0,1.3192,1.9435,116.8,4.5252,4.497,62.08,57340.0,642.45,9.3322,18.61,1385.75,1726.25,25561.12,83.74,38.519,5.95,459.5,411.0,2.537,2.3624,28.2
2007-03-05,7.497,53.0,1.309,1.9205,115.53,4.5165,4.495,60.54,55630.0,636.6,9.408,19.63,1372.25,1713.75,24919.46,84.17,42.375,6.35,468.0,417.25,2.5332,2.343,17.0
2007-03-06,7.3826,53.0,1.3128,1.9317,116.6,4.5743,4.5282,61.39,55890.0,646.5,9.4132,15.96,1395.5,1745.0,25228.11,84.04,41.823,6.05,459.5,412.5,2.5318,2.35,15.5
2007-03-07,7.4368,55.0,1.3177,1.933,116.06,4.5241,4.4871,62.5,56590.0,649.0,9.3973,15.24,1393.25,1737.5,25280.4,83.78,39.988,5.9,466.5,415.75,2.5116,2.3299,13.6
2007-03-08,7.3544,55.0,1.3133,1.9283,117.18,4.5571,4.5125,62.33,57850.0,651.8,9.4035,14.29,1404.75,1754.5,25616.63,84.13,38.919,5.875,464.0,412.0,2.5096,2.3344,11.8
2007-03-09,7.3523,55.0,1.3116,1.932,118.34,4.6651,4.5871,61.13,57540.0,650.28,9.3738,14.09,1405.0,1747.75,25923.48,84.25,37.729,5.65,465.5,408.25,2.5148,2.351,14.4
2007-03-12,7.3525,63.0,1.3189,1.9325,117.74,4.6313,4.5516,60.74,57680.0,650.5,9.4082,13.99,1407.0,1757.75,26012.12,83.88,37.333,5.75,460.0,399.75,2.4832,2.3315,4.3
2007-03-13,7.5035,55.0,1.3197,1.929,116.28,4.5051,4.4907,60.9,58500.0,643.8,9.3746,18.13,1379.75,1724.25,25853.05,83.71,38.01,6.0,456.0,397.0,2.4922,2.3514,-3.9
2007-03-14,7.4275,54.0,1.3223,1.9361,117.09,4.5551,4.5338,61.06,57800.0,644.7,9.4649,17.27,1389.5,1748.25,25250.06,83.64,39.139,6.2,446.0,389.5,2.516,2.3666,-4.2
2007-03-15,7.411,55.0,1.3238,1.9374,117.57,4.58,4.5358,60.98,57500.0,646.6,9.4315,16.43,1391.5,1744.5,25662.31,83.65,38.401,6.075,455.5,397.75,2.5262,2.3685,-2.0
